year,month,circle,type_of_connection,service_provider,value,notes
2025,April,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33965795,
2025,April,Assam,wireless,Bharti Airtel (Including Tata Tele.),12314102,
2025,April,Bihar,wireless,Bharti Airtel (Including Tata Tele.),40967773,
2025,April,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18877637,
2025,April,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12401101,
2025,April,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7256973,
2025,April,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3575366,
2025,April,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6259328,
2025,April,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32337705,
2025,April,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8979470,
2025,April,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5414409,
2025,April,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16632103,
2025,April,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22616457,
2025,April,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10117466,
2025,April,North East,wireless,Bharti Airtel (Including Tata Tele.),6441774,
2025,April,Odisha,wireless,Bharti Airtel (Including Tata Tele.),12000051,
2025,April,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12536760,
2025,April,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23398032,
2025,April,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),30287993,
2025,April,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36295702,
2025,April,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18828814,
2025,April,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18469884,
2025,April,All India,wireless,Bharti Airtel (Including Tata Tele.),389974695,
2025,April,Andhra Pradesh,wireless,Reliance Communications,0,
2025,April,Assam,wireless,Reliance Communications,0,
2025,April,Bihar,wireless,Reliance Communications,0,
2025,April,Delhi,wireless,Reliance Communications,1,
2025,April,Gujarat,wireless,Reliance Communications,1,
2025,April,Haryana,wireless,Reliance Communications,0,
2025,April,Himachal Pradesh,wireless,Reliance Communications,0,
2025,April,Jammu and Kashmir,wireless,Reliance Communications,0,
2025,April,Karnataka,wireless,Reliance Communications,410,
2025,April,Kerala,wireless,Reliance Communications,0,
2025,April,Kolkata,wireless,Reliance Communications,0,
2025,April,Madhya Pradesh,wireless,Reliance Communications,0,
2025,April,Maharashtra,wireless,Reliance Communications,0,
2025,April,Mumbai,wireless,Reliance Communications,64,
2025,April,North East,wireless,Reliance Communications,0,
2025,April,Odisha,wireless,Reliance Communications,0,
2025,April,Punjab,wireless,Reliance Communications,7,
2025,April,Rajasthan,wireless,Reliance Communications,78,
2025,April,Tamil Nadu,wireless,Reliance Communications,0,
2025,April,Uttar Pradesh (East),wireless,Reliance Communications,0,
2025,April,Uttar Pradesh (West),wireless,Reliance Communications,0,
2025,April,West Bengal,wireless,Reliance Communications,8,
2025,April,All India,wireless,Reliance Communications,569,
2025,April,Andhra Pradesh,wireless,Vodafone Idea,9690229,
2025,April,Assam,wireless,Vodafone Idea,1422240,
2025,April,Bihar,wireless,Vodafone Idea,7781220,
2025,April,Delhi,wireless,Vodafone Idea,16796269,
2025,April,Gujarat,wireless,Vodafone Idea,19680582,
2025,April,Haryana,wireless,Vodafone Idea,6337736,
2025,April,Himachal Pradesh,wireless,Vodafone Idea,381498,
2025,April,Jammu and Kashmir,wireless,Vodafone Idea,266116,
2025,April,Karnataka,wireless,Vodafone Idea,6737615,
2025,April,Kerala,wireless,Vodafone Idea,12886334,
2025,April,Kolkata,wireless,Vodafone Idea,4797574,
2025,April,Madhya Pradesh,wireless,Vodafone Idea,13390619,
2025,April,Maharashtra,wireless,Vodafone Idea,20208191,
2025,April,Mumbai,wireless,Vodafone Idea,10717031,
2025,April,North East,wireless,Vodafone Idea,629682,
2025,April,Odisha,wireless,Vodafone Idea,1404631,
2025,April,Punjab,wireless,Vodafone Idea,5987467,
2025,April,Rajasthan,wireless,Vodafone Idea,9122850,
2025,April,Tamil Nadu,wireless,Vodafone Idea,14592467,
2025,April,Uttar Pradesh (East),wireless,Vodafone Idea,16049712,
2025,April,Uttar Pradesh (West),wireless,Vodafone Idea,14284138,
2025,April,West Bengal,wireless,Vodafone Idea,11546912,
2025,April,All India,wireless,Vodafone Idea,204711113,
2025,April,Andhra Pradesh,wireless,BSNL,6939168,
2025,April,Assam,wireless,BSNL,2969614,
2025,April,Bihar,wireless,BSNL,5752352,
2025,April,Delhi,wireless,BSNL,,
2025,April,Gujarat,wireless,BSNL,3260886,
2025,April,Haryana,wireless,BSNL,4199581,
2025,April,Himachal Pradesh,wireless,BSNL,1686251,
2025,April,Jammu and Kashmir,wireless,BSNL,865999,
2025,April,Karnataka,wireless,BSNL,4570631,
2025,April,Kerala,wireless,BSNL,8786312,
2025,April,Kolkata,wireless,BSNL,,
2025,April,Madhya Pradesh,wireless,BSNL,5129940,
2025,April,Maharashtra,wireless,BSNL,5288032,
2025,April,Mumbai,wireless,BSNL,,
2025,April,North East,wireless,BSNL,1290594,
2025,April,Odisha,wireless,BSNL,5565278,
2025,April,Punjab,wireless,BSNL,4082258,
2025,April,Rajasthan,wireless,BSNL,5626191,
2025,April,Tamil Nadu,wireless,BSNL,7758526,
2025,April,Uttar Pradesh (East),wireless,BSNL,8065974,
2025,April,Uttar Pradesh (West),wireless,BSNL,4979572,
2025,April,West Bengal,wireless,BSNL,2633080,
2025,April,All India,wireless,BSNL,90905664,
2025,April,Andhra Pradesh,wireless,MTNL,,
2025,April,Assam,wireless,MTNL,,
2025,April,Bihar,wireless,MTNL,,
2025,April,Delhi,wireless,MTNL,788984,
2025,April,Gujarat,wireless,MTNL,,
2025,April,Haryana,wireless,MTNL,,
2025,April,Himachal Pradesh,wireless,MTNL,,
2025,April,Jammu and Kashmir,wireless,MTNL,,
2025,April,Karnataka,wireless,MTNL,,
2025,April,Kerala,wireless,MTNL,,
2025,April,Kolkata,wireless,MTNL,1455425,
2025,April,Madhya Pradesh,wireless,MTNL,,
2025,April,Maharashtra,wireless,MTNL,,
2025,April,Mumbai,wireless,MTNL,141577,
2025,April,North East,wireless,MTNL,,
2025,April,Odisha,wireless,MTNL,,
2025,April,Punjab,wireless,MTNL,,
2025,April,Rajasthan,wireless,MTNL,,
2025,April,Tamil Nadu,wireless,MTNL,,
2025,April,Uttar Pradesh (East),wireless,MTNL,,
2025,April,Uttar Pradesh (West),wireless,MTNL,,
2025,April,West Bengal,wireless,MTNL,,
2025,April,All India,wireless,MTNL,930561,
2025,April,Andhra Pradesh,wireless,Reliance Jio,31871384,
2025,April,Assam,wireless,Reliance Jio,9752800,
2025,April,Bihar,wireless,Reliance Jio,42106190,
2025,April,Delhi,wireless,Reliance Jio,19892440,
2025,April,Gujarat,wireless,Reliance Jio,30453865,
2025,April,Haryana,wireless,Reliance Jio,8333583,
2025,April,Himachal Pradesh,wireless,Reliance Jio,3230655,
2025,April,Jammu and Kashmir,wireless,Reliance Jio,4921318,
2025,April,Karnataka,wireless,Reliance Jio,24907184,
2025,April,Kerala,wireless,Reliance Jio,10775087,
2025,April,Kolkata,wireless,Reliance Jio,10767827,
2025,April,Madhya Pradesh,wireless,Reliance Jio,45566747,
2025,April,Maharashtra,wireless,Reliance Jio,42699088,
2025,April,Mumbai,wireless,Reliance Jio,12943992,
2025,April,North East,wireless,Reliance Jio,4322201,
2025,April,Odisha,wireless,Reliance Jio,16109743,
2025,April,Punjab,wireless,Reliance Jio,11396751,
2025,April,Rajasthan,wireless,Reliance Jio,26522578,
2025,April,Tamil Nadu,wireless,Reliance Jio,24674009,
2025,April,Uttar Pradesh (East),wireless,Reliance Jio,42010696,
2025,April,Uttar Pradesh (West),wireless,Reliance Jio,24576722,
2025,April,West Bengal,wireless,Reliance Jio,24573830,
2025,April,All India,wireless,Reliance Jio,472408690,
2025,March,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33923195,
2025,March,Assam,wireless,Bharti Airtel (Including Tata Tele.),12241287,
2025,March,Bihar,wireless,Bharti Airtel (Including Tata Tele.),41096191,
2025,March,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18771602,
2025,March,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12359251,
2025,March,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7245664,
2025,March,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3575615,
2025,March,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6179009,
2025,March,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32306447,
2025,March,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8915860,
2025,March,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5435465,
2025,March,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16642059,
2025,March,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22583417,
2025,March,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10124250,
2025,March,North East,wireless,Bharti Airtel (Including Tata Tele.),6419608,
2025,March,Odisha,wireless,Bharti Airtel (Including Tata Tele.),11996212,
2025,March,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12564173,
2025,March,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23434836,
2025,March,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),30155175,
2025,March,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36484630,
2025,March,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18885824,
2025,March,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18464267,
2025,March,All India,wireless,Bharti Airtel (Including Tata Tele.),389804037,
2025,March,Andhra Pradesh,wireless,Reliance Communications,0,
2025,March,Assam,wireless,Reliance Communications,0,
2025,March,Bihar,wireless,Reliance Communications,0,
2025,March,Delhi,wireless,Reliance Communications,1,
2025,March,Gujarat,wireless,Reliance Communications,1,
2025,March,Haryana,wireless,Reliance Communications,0,
2025,March,Himachal Pradesh,wireless,Reliance Communications,0,
2025,March,Jammu and Kashmir,wireless,Reliance Communications,0,
2025,March,Karnataka,wireless,Reliance Communications,412,
2025,March,Kerala,wireless,Reliance Communications,0,
2025,March,Kolkata,wireless,Reliance Communications,0,
2025,March,Madhya Pradesh,wireless,Reliance Communications,0,
2025,March,Maharashtra,wireless,Reliance Communications,0,
2025,March,Mumbai,wireless,Reliance Communications,56,
2025,March,North East,wireless,Reliance Communications,0,
2025,March,Odisha,wireless,Reliance Communications,0,
2025,March,Punjab,wireless,Reliance Communications,6,
2025,March,Rajasthan,wireless,Reliance Communications,81,
2025,March,Tamil Nadu,wireless,Reliance Communications,0,
2025,March,Uttar Pradesh (East),wireless,Reliance Communications,0,
2025,March,Uttar Pradesh (West),wireless,Reliance Communications,0,
2025,March,West Bengal,wireless,Reliance Communications,9,
2025,March,All India,wireless,Reliance Communications,566,
2025,March,Andhra Pradesh,wireless,Vodafone Idea,9699287,
2025,March,Assam,wireless,Vodafone Idea,1420096,
2025,March,Bihar,wireless,Vodafone Idea,7727548,
2025,March,Delhi,wireless,Vodafone Idea,16756217,
2025,March,Gujarat,wireless,Vodafone Idea,19629831,
2025,March,Haryana,wireless,Vodafone Idea,6365079,
2025,March,Himachal Pradesh,wireless,Vodafone Idea,379892,
2025,March,Jammu and Kashmir,wireless,Vodafone Idea,262607,
2025,March,Karnataka,wireless,Vodafone Idea,6628032,
2025,March,Kerala,wireless,Vodafone Idea,12920924,
2025,March,Kolkata,wireless,Vodafone Idea,4851202,
2025,March,Madhya Pradesh,wireless,Vodafone Idea,13599147,
2025,March,Maharashtra,wireless,Vodafone Idea,20309525,
2025,March,Mumbai,wireless,Vodafone Idea,10711200,
2025,March,North East,wireless,Vodafone Idea,637041,
2025,March,Odisha,wireless,Vodafone Idea,1397972,
2025,March,Punjab,wireless,Vodafone Idea,6037566,
2025,March,Rajasthan,wireless,Vodafone Idea,9173311,
2025,March,Tamil Nadu,wireless,Vodafone Idea,14731787,
2025,March,Uttar Pradesh (East),wireless,Vodafone Idea,16128148,
2025,March,Uttar Pradesh (West),wireless,Vodafone Idea,14371653,
2025,March,West Bengal,wireless,Vodafone Idea,11620668,
2025,March,All India,wireless,Vodafone Idea,205358733,
2025,March,Andhra Pradesh,wireless,BSNL,6937453,
2025,March,Assam,wireless,BSNL,2970848,
2025,March,Bihar,wireless,BSNL,5771775,
2025,March,Delhi,wireless,BSNL,,
2025,March,Gujarat,wireless,BSNL,3266954,
2025,March,Haryana,wireless,BSNL,4212938,
2025,March,Himachal Pradesh,wireless,BSNL,1682282,
2025,March,Jammu and Kashmir,wireless,BSNL,866466,
2025,March,Karnataka,wireless,BSNL,4573403,
2025,March,Kerala,wireless,BSNL,8780341,
2025,March,Kolkata,wireless,BSNL,,
2025,March,Madhya Pradesh,wireless,BSNL,5164051,
2025,March,Maharashtra,wireless,BSNL,5301279,
2025,March,Mumbai,wireless,BSNL,,
2025,March,North East,wireless,BSNL,1290499,
2025,March,Odisha,wireless,BSNL,5573279,
2025,March,Punjab,wireless,BSNL,4092007,
2025,March,Rajasthan,wireless,BSNL,5634425,
2025,March,Tamil Nadu,wireless,BSNL,7783902,
2025,March,Uttar Pradesh (East),wireless,BSNL,8081876,
2025,March,Uttar Pradesh (West),wireless,BSNL,4984322,
2025,March,West Bengal,wireless,BSNL,2637783,
2025,March,All India,wireless,BSNL,91060664,
2025,March,Andhra Pradesh,wireless,MTNL,,
2025,March,Assam,wireless,MTNL,,
2025,March,Bihar,wireless,MTNL,,
2025,March,Delhi,wireless,MTNL,789314,
2025,March,Gujarat,wireless,MTNL,,
2025,March,Haryana,wireless,MTNL,,
