year,month,circle,type_of_connection,service_provider,value,unit,notes
2025,April,Andhra Pradesh,wireless,Bharti Airtel (Including Tata Tele.),33965795,value in absolute number,
2025,April,Assam,wireless,Bharti Airtel (Including Tata Tele.),12314102,value in absolute number,
2025,April,Bihar,wireless,Bharti Airtel (Including Tata Tele.),40967773,value in absolute number,
2025,April,Delhi,wireless,Bharti Airtel (Including Tata Tele.),18877637,value in absolute number,
2025,April,Gujarat,wireless,Bharti Airtel (Including Tata Tele.),12401101,value in absolute number,
2025,April,Haryana,wireless,Bharti Airtel (Including Tata Tele.),7256973,value in absolute number,
2025,April,Himachal Pradesh,wireless,Bharti Airtel (Including Tata Tele.),3575366,value in absolute number,
2025,April,Jammu and Kashmir,wireless,Bharti Airtel (Including Tata Tele.),6259328,value in absolute number,
2025,April,Karnataka,wireless,Bharti Airtel (Including Tata Tele.),32337705,value in absolute number,
2025,April,Kerala,wireless,Bharti Airtel (Including Tata Tele.),8979470,value in absolute number,
2025,April,Kolkata,wireless,Bharti Airtel (Including Tata Tele.),5414409,value in absolute number,
2025,April,Madhya Pradesh,wireless,Bharti Airtel (Including Tata Tele.),16632103,value in absolute number,
2025,April,Maharashtra,wireless,Bharti Airtel (Including Tata Tele.),22616457,value in absolute number,
2025,April,Mumbai,wireless,Bharti Airtel (Including Tata Tele.),10117466,value in absolute number,
2025,April,North East,wireless,Bharti Airtel (Including Tata Tele.),6441774,value in absolute number,
2025,April,Odisha,wireless,Bharti Airtel (Including Tata Tele.),12000051,value in absolute number,
2025,April,Punjab,wireless,Bharti Airtel (Including Tata Tele.),12536760,value in absolute number,
2025,April,Rajasthan,wireless,Bharti Airtel (Including Tata Tele.),23398032,value in absolute number,
2025,April,Tamil Nadu,wireless,Bharti Airtel (Including Tata Tele.),30287993,value in absolute number,
2025,April,Uttar Pradesh (East),wireless,Bharti Airtel (Including Tata Tele.),36295702,value in absolute number,
2025,April,Uttar Pradesh (West),wireless,Bharti Airtel (Including Tata Tele.),18828814,value in absolute number,
2025,April,West Bengal,wireless,Bharti Airtel (Including Tata Tele.),18469884,value in absolute number,
2025,April,All India,wireless,Bharti Airtel (Including Tata Tele.),389974695,value in absolute number,
